7zip	25.01+dfsg-1~deb13u2
libavcodec61	7:7.1.5-0+deb13u1
libavfilter10	7:7.1.5-0+deb13u1
libavformat61	7:7.1.5-0+deb13u1
libavformat61	7:7.1.5-0+deb13u1
libavif16	1.2.1-1.2
libavif16	1.2.1-1.2
libavtp0	0.2.0-2
libavutil59	7:7.1.5-0+deb13u1
libavutil59	7:7.1.5-0+deb13u1
libayatana-appindicator3-1	0.5.94-1
libayatana-ido3-0.4-0	0.10.4-1
libayatana-indicator3-7	0.9.4-1+b1
libb2-1	0.98.1-1.1+b2
libbdplus0	0.2.0-4+b1
libbdplus0	0.2.0-4+b1
libbinutils	2.44-3
libblas3	3.12.1-6
libblkid1	2.41.5-0+deb13u1
libblkid1	2.41.5-0+deb13u1
libblockdev3	3.3.0-2.1
libblockdev-crypto3	3.3.0-2.1
libblockdev-fs3	3.3.0-2.1
libblockdev-loop3	3.3.0-2.1
libblockdev-mdraid3	3.3.0-2.1
libblockdev-nvme3	3.3.0-2.1
libblockdev-part3	3.3.0-2.1
libblockdev-swap3	3.3.0-2.1
libblockdev-utils3	3.3.0-2.1
libbluetooth3	5.82-1.1
libbluray2	1:1.3.4-1+b2
libbluray2	1:1.3.4-1+b2
libbpf1	1:1.5.0-3
libbrlapi0.8	6.7-3.1+deb13u3
libbrotli1	1.1.0-2+b7
libbrotli1	1.1.0-2+b7
libbs2b0	3.1.0+dfsg-8+b1
libbsd0	0.12.2-2
libbsd0	0.12.2-2
libbytesize1	2.11-2
libbytesize-common	2.11-2
libbz2-1.0	1.0.8-6
libbz2-1.0	1.0.8-6
libc6	2.41-12+deb13u4
libc6	2.41-12+deb13u4
libc6-dev	2.41-12+deb13u4
libcaca0	0.99.beta20-5+deb13u1
libcaca0	0.99.beta20-5+deb13u1
libcairo2	1.18.4-1+b1
libcairo2	1.18.4-1+b1
libcairo-gobject2	1.18.4-1+b1
libcairo-gobject2	1.18.4-1+b1
libcairo-gobject-perl	1.005-4+b4
libcairomm-1.16-1	1.18.0-2
libcairo-perl	1.109-5+b1
libcairo-script-interpreter2	1.18.4-1+b1
libcamel-1.2-64t64	3.56.2-0+deb13u1
libcamera0.4	0.4.0-7
libcamera-ipa	0.4.0-7
libcanberra0	0.30-18
libcanberra-gtk3-0	0.30-18
libcanberra-gtk3-module	0.30-18
libcanberra-pulse	0.30-18
libcap2	1:2.75-10+deb13u1+b3
libcap2	1:2.75-10+deb13u1+b3
libcap2-bin	1:2.75-10+deb13u1+b3
libcapi20-3t64	1:3.27-3.2+b1
libcapi20-3t64	1:3.27-3.2+b1
libcap-ng0	0.8.5-4+b1
libc-bin	2.41-12+deb13u4
libcbor0.10	0.10.2-2
libcc1-0	14.2.0-19
libcddb2	1.3.2-7.1
libc-dev-bin	2.41-12+deb13u4
